Error J1	Error J2	Position J1	Position J2	desTorque1	desTorque2	coriolis1	coriolis2	grav1	grav2	time	
0.966264	-5.89339	-3.06066	5.89339	-2.86553	-1.62059	0.250971	-0.0183233	21.896	29.8835	1.48091	
0.965637	-5.89036	-3.06003	5.89036	-1.76391	-0.998082	0.258776	-0.0188902	22.0592	30.1085	1.48733	
0.963673	-5.88087	-3.05807	5.88087	0.618352	0.35228	0.259863	-0.0189599	22.5699	30.8126	1.50657	
0.96372	-5.8811	-3.05812	5.8811	-2.95392	-1.67675	0.26541	-0.0193649	22.5576	30.7956	1.50657	
0.964374	-5.88425	-3.05877	5.88425	-4.03273	-2.28731	0.2607	-0.0190245	22.3879	30.5616	1.5	
0.962446	-5.87493	-3.05684	5.87493	0.555551	0.317222	0.276288	-0.020152	22.8881	31.2516	1.5194	
0.962437	-5.87489	-3.05683	5.87489	-2.8487	-1.62006	0.272109	-0.019847	22.8902	31.2546	1.5194	
0.961801	-5.87181	-3.0562	5.87181	-1.73211	-0.985566	0.281576	-0.0205343	23.0551	31.482	1.52582	
0.959782	-5.86205	-3.05418	5.86205	0.721731	0.413535	0.282109	-0.0205624	23.5767	32.2024	1.54507	
0.959843	-5.86235	-3.05424	5.86235	-2.95937	-1.68964	0.288309	-0.0210147	23.5609	32.1806	1.54507	
