Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
-0.866571	-0.043946	0.107055	-0.180627	0.742078	-0.107055	-231.725	-104.042	-0.0144888	-6.07394	17.3618	-1.78806e-05	21.5245	11.179	0.010949	0.0227593	
-0.875997	-0.055701	0.118361	-0.1712	0.753833	-0.118361	-322.357	-153.315	-0.017383	-5.08183	14.479	-1.71173e-05	21.5237	11.1693	0.0109493	0.0236343	
-0.876026	-0.0548499	0.117889	-0.171171	0.752982	-0.117889	-232.465	-103.852	-0.014681	-4.74072	13.3934	-1.26293e-05	21.5231	11.1688	0.0109493	0.0236343	
-0.880392	-0.0591974	0.122636	-0.166806	0.757329	-0.122636	-273.942	-126.226	-0.0160406	-3.96481	11.0531	-1.03531e-05	21.5214	11.1652	0.010951	0.0240718	
-0.892185	-0.0685511	0.134653	-0.155013	0.766683	-0.134653	-336.069	-156.887	-0.0187844	-1.5388	4.12963	-4.83617e-05	21.5128	11.1594	0.0109612	0.0253843	
-0.892285	-0.0686702	0.134729	-0.154913	0.766802	-0.134729	-241.315	-109.245	-0.0148513	-1.51699	4.07091	-4.89597e-05	21.513	11.159	0.0109608	0.0253843	
-0.899204	-0.0727421	0.141402	-0.147994	0.770874	-0.141402	-295.026	-135.022	-0.0173812	-0.0918415	0.683354	-0.000142397	21.5049	11.159	0.0109714	0.0262593	
-0.898431	-0.0712323	0.140457	-0.148766	0.769364	-0.140457	-233.556	-104.456	-0.0147433	-0.000807367	0.593976	-0.000154744	21.503	11.1621	0.0109744	0.0262593	
-0.900756	-0.0713588	0.142584	-0.146442	0.76949	-0.142584	-257.032	-115.464	-0.0159047	0.656131	-0.520653	-0.000235298	21.4965	11.1668	0.0109842	0.0266968	
-0.905326	-0.0680297	0.146615	-0.141871	0.766161	-0.146615	-261.602	-112.58	-0.0172368	2.46176	-1.90258	-0.000589558	21.4713	11.1913	0.0110229	0.0280093	
-0.897896	-0.0719728	0.140141	-0.149301	0.770104	-0.140141	-208.414	-101.77	-0.0115578	-0.336533	1.21282	-0.000120473	21.5064	11.159	0.0109694	0.0260939	
-0.897388	-0.0709796	0.13952	-0.149809	0.769111	-0.13952	-236.238	-106.095	-0.0147867	-0.278857	1.14867	-0.000127842	21.5052	11.161	0.0109714	0.0260939	
-0.899468	-0.0713779	0.141434	-0.147729	0.76951	-0.141434	-256.01	-115.416	-0.015755	0.276382	0.0876917	-0.000185745	21.5003	11.164	0.0109785	0.0264488	
-0.904076	-0.0699412	0.14551	-0.143122	0.768073	-0.14551	-266.999	-117.216	-0.0170472	1.81065	-1.69898	-0.000440482	21.4818	11.18	0.0110064	0.0275133	
-0.904093	-0.069927	0.145503	-0.143105	0.768059	-0.145503	-243.401	-110.021	-0.0150624	1.81741	-1.70229	-0.000441893	21.4818	11.1799	0.0110063	0.0275133	
-0.906295	-0.0676652	0.147392	-0.140903	0.765797	-0.147392	-250.517	-109.718	-0.0162061	2.77022	-1.87362	-0.000673384	21.4675	11.1943	0.0110282	0.028223	
-0.905728	-0.0668755	0.146888	-0.141469	0.765007	-0.146888	-237.684	-106.633	-0.0149517	2.77544	-1.89819	-0.000667401	21.4663	11.1968	0.0110305	0.028223	
-0.906168	-0.0649093	0.147299	-0.14103	0.763041	-0.147299	-240.278	-105.965	-0.0154866	3.22918	-1.80944	-0.000783871	21.4577	11.207	0.0110442	0.0285778	
-0.906203	-0.057523	0.147589	-0.140995	0.755655	-0.147589	-221.855	-91.2724	-0.0158371	4.58726	-1.28608	-0.00112918	21.429	11.2437	0.0110902	0.0296423	
-0.906191	-0.0574877	0.147567	-0.141007	0.755619	-0.147567	-241.612	-108.519	-0.0152072	4.59617	-1.28142	-0.00113122	21.4289	11.2438	0.0110902	0.0296423	
-0.905638	-0.0519937	0.1474	-0.141559	0.750125	-0.1474	-222.432	-93.5577	-0.0154728	5.5246	-0.90268	-0.00135288	21.4084	11.271	0.0111231	0.030352	
-0.905324	-0.0517422	0.147243	-0.141874	0.749874	-0.147243	-238.02	-106.425	-0.0151361	5.45465	-1.06972	-0.0013194	21.4077	11.2727	0.0111245	0.030352	
-0.904783	-0.0489163	0.147114	-0.142415	0.747048	-0.147114	-229.011	-99.331	-0.0152684	5.82294	-1.07757	-0.00138688	21.3969	11.2878	0.0111421	0.0307069	
-0.902817	-0.040661	0.146884	-0.14438	0.738793	-0.146884	-203.607	-81.4523	-0.0151513	6.63307	-1.53482	-0.00148271	21.3634	11.3355	0.0111962	0.0317714	
-0.902787	-0.0406222	0.146857	-0.14441	0.738754	-0.146857	-237.806	-105.905	-0.0152868	6.638	-1.53569	-0.00148363	21.3634	11.3356	0.0111963	0.0317714	
-0.900776	-0.0329869	0.14697	-0.146422	0.731119	-0.14697	-203.102	-81.35	-0.0150986	7.07131	-2.1782	-0.00148766	21.3299	11.3834	0.0112496	0.0328236	
-0.900876	-0.0337559	0.147469	-0.146321	0.731888	-0.147469	-238.956	-106.741	-0.0153061	6.71701	-2.32462	-0.00139972	21.3301	11.3836	0.0112496	0.0328236	
-0.900412	-0.0315443	0.148554	-0.146785	0.729676	-0.148554	-226.678	-97.5165	-0.015322	6.4066	-2.58235	-0.00130071	21.3146	11.4057	0.0112742	0.0333497	
-0.900709	-0.0287359	0.154258	-0.146489	0.726868	-0.154258	-227.817	-95.2805	-0.0157307	4.36873	-1.97172	-0.000897153	21.2713	11.4649	0.0113411	0.034928	
-0.901524	-0.0358285	0.146928	-0.145673	0.73396	-0.146928	-263.15	-127.881	-0.0150902	6.92229	-1.9579	-0.0014862	21.3424	11.3656	0.0112298	0.032432	
-0.901564	-0.0361316	0.147125	-0.145634	0.734263	-0.147125	-238.004	-106.041	-0.0153073	6.78865	-2.03308	-0.00145115	21.3425	11.3657	0.0112298	0.032432	
-0.901085	-0.0342727	0.147506	-0.146112	0.732404	-0.147506	-228.427	-99.1422	-0.0152738	6.73437	-2.26778	-0.0014105	21.3323	11.3803	0.0112461	0.0327623	
-0.900136	-0.0300788	0.149537	-0.147061	0.72821	-0.149537	-217.693	-90.7964	-0.0152862	6.0553	-2.65669	-0.00121263	21.3028	11.4223	0.0112927	0.0337532	
-0.90012	-0.0300584	0.149523	-0.147078	0.72819	-0.149523	-235.282	-104.173	-0.0153478	6.05277	-2.65731	-0.00121205	21.3027	11.4224	0.0112928	0.0337532	
-0.900408	-0.0315437	0.148477	-0.14679	0.729675	-0.148477	-241.905	-109.334	-0.0153437	6.43902	-2.57487	-0.00130854	21.315	11.4051	0.0112735	0.0333333	
