Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
0.808437	-1.5483	0.336011	0.0642279	-0.0806714	0.013055	0.183504	0.0328178	-0.0283117	-0.000326166	-0.000544815	0.00277218	0.0989227	0.168699	-0.399825	0.336969	
0.802246	-1.54049	0.334743	0.0704188	-0.0884869	0.0143229	0.0355766	-0.00494158	-0.0175195	-0.000473512	-0.000708094	0.00281655	0.0797468	0.17324	-0.399691	0.352243	
0.802695	-1.54105	0.334835	0.0699697	-0.0879207	0.0142312	0.249544	0.0472031	-0.0355161	-0.000475441	-0.000715475	0.00289221	0.0811404	0.172913	-0.3997	0.352243	
0.809661	-1.54985	0.336261	0.0630037	-0.0791265	0.0128044	0.464783	0.101603	-0.0520348	-0.000286578	-0.00049402	0.00265952	0.102716	0.167803	-0.399851	0.333333	
0.798886	-1.53624	0.334054	0.0737787	-0.092732	0.015012	-0.114215	-0.0420674	-0.00564133	-0.000604128	-0.000869024	0.00308843	0.0693514	0.175715	-0.399617	0.362425	
0.798819	-1.53616	0.33404	0.0738452	-0.0928175	0.0150259	0.229801	0.0412548	-0.0349196	-0.000578803	-0.000832171	0.00295142	0.0691498	0.175768	-0.399615	0.362425	
0.796931	-1.53377	0.333652	0.0757335	-0.0952046	0.0154135	0.169887	0.0262739	-0.0302643	-0.000671624	-0.000948438	0.00317309	0.0633119	0.177162	-0.399574	0.367516	
0.79033	-1.52542	0.332297	0.0823345	-0.103553	0.0167691	0.0143352	-0.0125812	-0.018284	-0.000850348	-0.00114467	0.00319263	0.0429162	0.182046	-0.399426	0.38279	
0.799276	-1.53674	0.334134	0.0733883	-0.0922389	0.0149319	0.517272	0.10959	-0.0608001	-0.000590293	-0.000852566	0.00306806	0.0705598	0.175428	-0.399626	0.361381	
0.799223	-1.53667	0.334123	0.0734419	-0.0923077	0.0149432	0.23052	0.0415338	-0.0348845	-0.000609627	-0.000880093	0.00316179	0.0703974	0.17547	-0.399624	0.361381	
0.797386	-1.53434	0.333746	0.0752783	-0.094629	0.01532	0.171887	0.0268724	-0.0303261	-0.000653743	-0.000926889	0.00314381	0.0647187	0.176826	-0.399584	0.36595	
0.792244	-1.52784	0.33269	0.0804211	-0.101133	0.0163762	0.062377	-0.000616693	-0.0219868	-0.000793226	-0.001081	0.00316902	0.0488277	0.180631	-0.399469	0.379658	
0.799663	-1.53722	0.334213	0.0730018	-0.0917507	0.0148527	0.469013	0.0982998	-0.0562941	-0.000576745	-0.000836439	0.00304795	0.0717559	0.175143	-0.399634	0.360348	
0.799621	-1.53717	0.334204	0.0730439	-0.0918048	0.0148616	0.231189	0.0418017	-0.0348444	-0.000590587	-0.000856198	0.00311576	0.0716281	0.175177	-0.399633	0.360348	
0.798013	-1.53514	0.333874	0.0746515	-0.0938367	0.0151914	0.179702	0.0289221	-0.0308423	-0.000631725	-0.000900958	0.00311531	0.0666567	0.176363	-0.399597	0.364401	
0.79341	-1.52932	0.332929	0.079255	-0.0996579	0.0161366	0.0804314	0.00396354	-0.023304	-0.000761435	-0.00104587	0.00316364	0.0524291	0.179767	-0.399495	0.376559	
